userID,articleID,userRegion,userCountry
USER_0000,ARTICLE_0661,NY,US
USER_0000,ARTICLE_2316,NY,US
USER_0000,ARTICLE_1345,NY,US
USER_0000,ARTICLE_1089,NY,US
USER_0000,ARTICLE_1484,NY,US
USER_0000,ARTICLE_1033,NY,US
USER_0000,ARTICLE_1033,NY,US
USER_0000,ARTICLE_2255,NY,US
USER_0000,ARTICLE_1260,NY,US
USER_0000,ARTICLE_0090,NY,US
USER_0000,ARTICLE_2255,NY,US
USER_0000,ARTICLE_0938,NY,US
USER_0000,ARTICLE_2286,NY,US
USER_0000,ARTICLE_1769,NY,US
USER_0000,ARTICLE_2316,NY,US
USER_0000,ARTICLE_0884,NY,US
USER_0000,ARTICLE_1198,CA,US
USER_0000,ARTICLE_2255,NY,US
USER_0000,ARTICLE_2834,NY,US
USER_0000,ARTICLE_1345,NY,US
USER_0000,ARTICLE_2834,NY,US
USER_0000,ARTICLE_0411,NY,US
USER_0000,ARTICLE_0411,NY,US
USER_0000,ARTICLE_2441,NY,US
USER_0000,ARTICLE_0732,NY,US
USER_0000,ARTICLE_1621,NY,US
USER_0000,ARTICLE_2757,NY,US
USER_0000,ARTICLE_1260,NY,US
USER_0000,ARTICLE_1809,NY,US
USER_0000,ARTICLE_1730,NY,US
USER_0000,ARTICLE_1230,NY,US
USER_0000,ARTICLE_2992,NY,US
USER_0000,ARTICLE_2255,NY,US
USER_0000,ARTICLE_2806,NY,US
USER_0000,ARTICLE_0411,NY,US
USER_0001,ARTICLE_1408,SP,BR
USER_0001,ARTICLE_0202,SP,BR
USER_0001,ARTICLE_2406,SP,BR
USER_0001,ARTICLE_1536,SP,BR
USER_0001,ARTICLE_2493,SP,BR
USER_0001,ARTICLE_1213,SP,BR
USER_0001,ARTICLE_2868,SP,BR
USER_0001,ARTICLE_2865,SP,BR
USER_0001,ARTICLE_2087,SP,BR
USER_0001,ARTICLE_2311,SP,BR
USER_0002,ARTICLE_2504,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_1910,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_1910,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_1000,SP,BR
USER_0002,ARTICLE_1570,SP,BR
USER_0002,ARTICLE_1614,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_1614,SP,BR
USER_0002,ARTICLE_2782,SP,BR
USER_0002,ARTICLE_1000,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_1000,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_2055,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_2803,SP,BR
USER_0002,ARTICLE_1000,SP,BR
USER_0003,ARTICLE_2115,SP,BR
USER_0003,ARTICLE_1092,SP,BR
USER_0003,ARTICLE_0958,SP,BR
USER_0003,ARTICLE_1861,SP,BR
USER_0004,ARTICLE_0173,SP,BR
USER_0004,ARTICLE_2259,SP,BR
USER_0004,ARTICLE_0690,SP,BR
USER_0004,ARTICLE_1300,SP,BR
USER_0004,ARTICLE_2928,SP,BR
USER_0004,ARTICLE_1901,SP,BR
USER_0004,ARTICLE_0912,SP,BR
USER_0004,ARTICLE_1947,SP,BR
USER_0004,ARTICLE_0912,SP,BR
USER_0004,ARTICLE_0800,SP,BR
USER_0004,ARTICLE_1947,SP,BR
USER_0004,ARTICLE_2897,SP,BR
USER_0004,ARTICLE_2128,SP,BR
USER_0004,ARTICLE_2085,SP,BR
USER_0004,ARTICLE_1517,SP,BR
USER_0004,ARTICLE_0912,SP,BR
USER_0004,ARTICLE_1439,SP,BR
USER_0005,ARTICLE_2589,MG,BR
USER_0005,ARTICLE_1267,MG,BR
USER_0005,ARTICLE_2259,MG,BR
USER_0005,ARTICLE_1577,MG,BR
USER_0005,ARTICLE_0564,MG,BR
USER_0005,ARTICLE_0931,MG,BR
USER_0005,ARTICLE_2223,MG,BR
USER_0005,ARTICLE_1577,MG,BR
USER_0005,ARTICLE_3003,MG,BR
USER_0005,ARTICLE_1028,MG,BR
USER_0005,ARTICLE_1435,MG,BR
USER_0005,ARTICLE_0182,MG,BR
USER_0005,ARTICLE_1547,MG,BR
USER_0005,ARTICLE_1357,MG,BR
USER_0005,ARTICLE_0972,MG,BR
USER_0005,ARTICLE_2223,MG,BR
USER_0005,ARTICLE_1577,MG,BR
USER_0005,ARTICLE_2223,MG,BR
USER_0006,ARTICLE_0957,CA,US
USER_0006,ARTICLE_1099,SP,BR
USER_0006,ARTICLE_2747,SP,BR
USER_0006,ARTICLE_1624,CA,US
USER_0006,ARTICLE_0586,SP,BR
USER_0006,ARTICLE_1086,SP,BR
USER_0006,ARTICLE_0957,CA,US
USER_0006,ARTICLE_0314,SP,BR
USER_0006,ARTICLE_2747,SP,BR
USER_0006,ARTICLE_1474,SP,BR
USER_0006,ARTICLE_1524,SP,BR
USER_0006,ARTICLE_1717,SP,BR
USER_0006,ARTICLE_0229,SP,BR
USER_0006,ARTICLE_0754,SP,BR
USER_0006,ARTICLE_1717,SP,BR
USER_0006,ARTICLE_2389,SP,BR
USER_0006,ARTICLE_1624,CA,US
USER_0006,ARTICLE_2905,SP,BR
USER_0006,ARTICLE_2747,SP,BR
USER_0006,ARTICLE_1058,SP,BR
USER_0006,ARTICLE_1013,SP,BR
USER_0006,ARTICLE_0758,SP,BR
USER_0006,ARTICLE_0024,SP,BR
USER_0006,ARTICLE_1624,SP,BR
USER_0006,ARTICLE_0460,CA,US
USER_0007,ARTICLE_1513,SP,BR
USER_0007,ARTICLE_2651,SP,BR
USER_0007,ARTICLE_0553,SP,BR
USER_0007,ARTICLE_0878,SP,BR
USER_0007,ARTICLE_1162,SP,BR
USER_0007,ARTICLE_0699,SP,BR
USER_0007,ARTICLE_0149,SP,BR
USER_0007,ARTICLE_0878,SP,BR
USER_0007,ARTICLE_2165,SP,BR
USER_0007,ARTICLE_0979,SP,BR
USER_0007,ARTICLE_2617,SP,BR
USER_0007,ARTICLE_0699,SP,BR
USER_0007,ARTICLE_0265,SP,BR
USER_0007,ARTICLE_0666,SP,BR
USER_0008,ARTICLE_0399,SP,BR
USER_0008,ARTICLE_1793,SP,BR
USER_0008,ARTICLE_0399,SP,BR
USER_0008,ARTICLE_1743,SP,BR
USER_0008,ARTICLE_1672,SP,BR
